"Rank","LeadSponsorName","Condition"
1001,"Sanofi","Multiple Sclerosis"
1002,"Bayer","Multiple Sclerosis"
1003,"Bayer","Multiple Sclerosis"
1004,"Elliot Frohman","Multiple Sclerosis"
1005,"Oregon Health and Science University","Multiple Sclerosis"
1006,"Hadassah Medical Organization","Multiple Sclerosis"
1007,"Louisiana State University Health Sciences Center in New Orleans","Multiple Sclerosis"
1008,"Biogen","Multiple Sclerosis"
1009,"University of California, San Francisco","Multiple Sclerosis"
1010,"Teva Neuroscience, Inc.","Multiple Sclerosis"
1011,"Sun Yat-sen University","Multiple Sclerosis"
1012,"Sunnybrook Health Sciences Centre","Multiple Sclerosis"
1013,"Sanofi","Multiple Sclerosis"
1014,"Sanofi","Multiple Sclerosis"
1015,"Sanofi","Multiple Sclerosis"
1016,"Friedemann Paul","Multiple Sclerosis"
1017,"Biogen","Multiple Sclerosis"
1018,"Hadassah Medical Organization","Multiple Sclerosis"
1019,"US Department of Veterans Affairs","Multiple Sclerosis"
1020,"US Department of Veterans Affairs","Multiple Sclerosis"
1021,"Sykehuset Innlandet HF","Multiple Sclerosis"
1022,"Eli Lilly and Company","Multiple Sclerosis"
1023,"Oregon Health and Science University","Multiple Sclerosis"
1024,"Germans Trias i Pujol Hospital","Multiple Sclerosis"
1025,"University Hospital, Strasbourg, France","Multiple Sclerosis"
1026,"Sanofi","Multiple Sclerosis"
1027,"Biogen","Multiple Sclerosis"
1028,"EMD Serono","Multiple Sclerosis"
1029,"EMD Serono Research & Development Institute, Inc.","Multiple Sclerosis"
1030,"University of California, Davis","Multiple Sclerosis"
1031,"University of California, Davis","Multiple Sclerosis"
1032,"EMD Serono","Multiple Sclerosis"
1033,"National Multiple Sclerosis Society","Multiple Sclerosis"
1034,"University of California, Davis","Multiple Sclerosis"
1035,"Oregon Health and Science University","Multiple Sclerosis"
1036,"GAAD Medical Research Institute Inc.","Multiple Sclerosis"
1037,"Novartis","Multiple Sclerosis"
1038,"Teva Pharmaceutical Industries","Multiple Sclerosis"
1039,"Novartis","Multiple Sclerosis"
1040,"Acorda Therapeutics","Multiple Sclerosis"
1041,"Acorda Therapeutics","Multiple Sclerosis"
1042,"Acorda Therapeutics","Multiple Sclerosis"
1043,"University of Toronto","Multiple Sclerosis"
1044,"GlaxoSmithKline","Multiple Sclerosis"
1045,"Clinica Universidad de Navarra, Universidad de Navarra","Multiple Sclerosis"
1046,"University of Rochester","Multiple Sclerosis"
1047,"University of Rochester","Multiple Sclerosis"
1048,"University of North Carolina, Chapel Hill","Multiple Sclerosis"
1049,"University of Nottingham","Multiple Sclerosis"
1050,"Sanofi","Multiple Sclerosis"
1051,"Aaron Boster","Multiple Sclerosis"
1052,"Biogen","Multiple Sclerosis"
1053,"Daiichi Sankyo, Inc.","Multiple Sclerosis"
1054,"University of California, Los Angeles","Multiple Sclerosis"
1055,"Teva Pharmaceutical Industries","Multiple Sclerosis"
1056,"Biogen","Multiple Sclerosis"
1057,"University of Illinois at Chicago","Multiple Sclerosis"
1058,"GlaxoSmithKline","Multiple Sclerosis"
1059,"Bayer","Multiple Sclerosis"
1060,"Novartis","Multiple Sclerosis"
1061,"Biogen","Multiple Sclerosis"
1062,"Biogen","Multiple Sclerosis"
1063,"Biogen","Multiple Sclerosis"
1064,"University of Minnesota","Multiple Sclerosis"
1065,"Logan College of Chiropractic","Multiple Sclerosis"
1066,"Teva Pharmaceutical Industries","Multiple Sclerosis"
1067,"University of California, San Francisco","Multiple Sclerosis"
1068,"University of California, San Francisco","Multiple Sclerosis"
1069,"Hospices Civils de Lyon","Multiple Sclerosis"
1070,"Talaris Therapeutics Inc.","Multiple Sclerosis"
1071,"Biogen","Multiple Sclerosis"
1072,"Biogen","Multiple Sclerosis"
1073,"Sanofi","Multiple Sclerosis"
1074,"Impax Laboratories, LLC","Multiple Sclerosis"
1075,"UCB Pharma","Multiple Sclerosis"
1076,"Biogen","Multiple Sclerosis"
1077,"Acorda Therapeutics","Multiple Sclerosis"
1078,"Biogen","Multiple Sclerosis"
1079,"Sanofi","Multiple Sclerosis"
1080,"University of Turin, Italy","Multiple Sclerosis"
1081,"GlaxoSmithKline","Multiple Sclerosis"
1082,"Rutgers, The State University of New Jersey","Multiple Sclerosis"
1083,"Biogen","Multiple Sclerosis"
1084,"State University of New York at Buffalo","Multiple Sclerosis"
1085,"Brown, Theodore R., M.D., MPH","Multiple Sclerosis"
1086,"US Department of Veterans Affairs","Multiple Sclerosis"
1087,"EMD Serono Research & Development Institute, Inc.","Multiple Sclerosis"
